0.24, 2.91, -9.61, -0.05, -0.05, -0.03
0.28, 3.33, -9.56, -0.03, -0.03, -0.02
0.37, 3.24, -9.63, 0.02, -0.01, 0.00
0.36, 2.98, -9.56, 0.02, -0.02, 0.02
0.32, 3.10, -9.57, 0.01, -0.02, 0.03
0.26, 3.08, -9.56, 0.04, -0.00, 0.03
0.39, 2.86, -9.55, 0.05, -0.00, 0.02
0.38, 2.57, -9.64, 0.01, -0.03, 0.01
0.36, 2.67, -9.57, -0.05, -0.05, -0.01
0.17, 2.80, -9.69, -0.05, -0.04, -0.02
0.19, 2.88, -9.49, -0.06, -0.04, -0.02
0.01, 3.03, -9.50, -0.06, -0.04, -0.03
-0.03, 3.12, -9.54, -0.02, -0.02, -0.02
0.05, 2.96, -9.56, -0.01, -0.02, -0.01
-0.04, 2.85, -9.50, -0.03, -0.04, -0.00
-0.08, 2.79, -9.69, -0.04, -0.03, 0.00
-0.10, 2.81, -9.56, -0.06, -0.01, 0.02
-0.13, 2.77, -9.71, -0.07, -0.00, 0.02
-0.18, 2.91, -9.58, -0.10, -0.01, 0.01
-0.10, 3.05, -9.54, -0.06, 0.00, 0.01
-0.15, 3.12, -9.51, -0.04, 0.01, 0.00
-0.17, 3.02, -9.62, -0.02, 0.01, -0.00
-0.11, 2.95, -9.57, -0.03, 0.01, -0.02
0.00, 2.96, -9.47, -0.03, 0.00, -0.03
-0.06, 2.86, -9.48, -0.04, -0.00, -0.03
-0.09, 2.89, -9.54, -0.07, -0.01, -0.03
-0.13, 2.94, -9.55, -0.09, -0.01, -0.03
-0.09, 3.04, -9.54, -0.09, -0.00, -0.02
-0.07, 3.15, -9.50, -0.08, -0.00, -0.02
-0.03, 3.30, -9.51, -0.06, 0.01, -0.01
0.05, 3.27, -9.56, -0.03, 0.02, -0.01
0.19, 3.20, -9.51, -0.03, 0.01, -0.02
0.16, 3.21, -9.49, -0.03, 0.00, -0.04
0.26, 3.31, -9.48, -0.01, -0.00, -0.04
0.08, 3.39, -9.54, 0.01, -0.00, -0.05
0.09, 3.25, -9.46, 0.04, 0.02, -0.05
-0.08, 3.19, -9.59, 0.06, 0.06, -0.04
0.19, 3.30, -9.61, 0.06, 0.08, -0.04
0.32, 3.17, -9.66, 0.07, 0.08, -0.08
0.50, 3.14, -9.63, 0.05, 0.06, -0.12
0.49, 3.18, -9.53, 0.05, 0.04, -0.13
0.42, 3.07, -9.67, 0.05, 0.03, -0.11
0.33, 3.12, -9.59, 0.06, 0.03, -0.10
0.37, 2.83, -9.54, 0.08, 0.04, -0.08
0.52, 2.46, -9.65, 0.05, 0.04, -0.05
0.45, 2.37, -9.60, -0.04, 0.01, -0.02
0.45, 2.66, -9.52, -0.10, -0.01, 0.00
0.48, 2.88, -9.63, -0.08, -0.00, 0.01
0.43, 2.81, -9.59, -0.06, 0.00, 0.01
0.38, 2.63, -9.73, -0.09, 0.00, -0.01
0.44, 2.68, -9.65, -0.12, 0.00, -0.02
0.06, 2.96, -9.65, -0.14, -0.00, -0.04
0.16, 3.18, -9.59, -0.10, 0.02, -0.04
0.18, 3.06, -9.61, -0.07, 0.04, -0.05
0.20, 2.96, -9.74, -0.08, 0.03, -0.06
0.10, 2.94, -9.60, -0.07, 0.03, -0.06
0.14, 2.98, -9.67, -0.07, 0.03, -0.06
0.10, 3.06, -9.69, -0.06, 0.04, -0.06
0.11, 3.01, -9.65, -0.05, 0.05, -0.06
0.13, 3.04, -9.66, -0.06, 0.03, -0.06
0.13, 2.95, -9.60, -0.05, 0.04, -0.06
0.11, 2.96, -9.52, -0.05, 0.03, -0.06
0.08, 2.95, -9.62, -0.05, 0.02, -0.05
-0.06, 3.04, -9.63, -0.04, 0.03, -0.04
0.00, 2.98, -9.59, -0.02, 0.03, -0.04
0.02, 2.77, -9.56, -0.04, 0.03, -0.06
0.00, 2.89, -9.62, -0.06, 0.03, -0.07
0.06, 2.91, -9.73, -0.06, 0.03, -0.09
-0.04, 2.97, -9.61, -0.07, 0.03, -0.11
-0.02, 3.00, -9.64, -0.07, 0.04, -0.12
0.09, 3.03, -9.52, -0.05, 0.05, -0.13
0.06, 3.02, -9.54, -0.05, 0.05, -0.14
0.10, 3.08, -9.67, -0.06, 0.05, -0.13
0.15, 3.12, -9.46, -0.06, 0.04, -0.12
0.04, 3.16, -9.53, -0.05, 0.05, -0.12
0.18, 3.19, -9.53, -0.04, 0.05, -0.11
0.23, 3.13, -9.49, -0.03, 0.05, -0.09
0.23, 3.10, -9.50, -0.04, 0.04, -0.08
0.23, 2.98, -9.50, -0.05, 0.04, -0.08
0.29, 3.02, -9.65, -0.06, 0.06, -0.08
0.38, 3.16, -9.52, -0.08, 0.05, -0.07
0.46, 3.19, -9.47, -0.07, 0.05, -0.07
0.41, 3.10, -9.54, -0.07, 0.04, -0.07
0.37, 3.20, -9.55, -0.07, 0.06, -0.08
0.38, 3.22, -9.49, -0.07, 0.07, -0.08
0.46, 3.24, -9.62, -0.07, 0.07, -0.09
0.59, 3.30, -9.49, -0.05, 0.07, -0.09
0.60, 3.22, -9.53, -0.04, 0.06, -0.08
0.64, 3.22, -9.52, -0.04, 0.05, -0.07
0.60, 3.14, -9.55, -0.03, 0.06, -0.06
0.67, 3.09, -9.64, -0.03, 0.07, -0.06
0.70, 3.03, -9.45, -0.04, 0.06, -0.06
0.79, 3.15, -9.48, -0.04, 0.05, -0.05
0.75, 3.19, -9.44, -0.04, 0.03, -0.05
0.64, 3.17, -9.52, -0.04, 0.02, -0.05
0.73, 3.01, -9.53, -0.02, 0.01, -0.05
0.65, 2.99, -9.68, -0.03, -0.00, -0.05
0.58, 2.96, -9.62, -0.03, -0.01, -0.05
0.56, 3.01, -9.57, -0.04, -0.01, -0.04
0.39, 3.08, -9.53, -0.05, -0.02, -0.03
0.37, 3.16, -9.58, -0.05, -0.02, -0.02
0.25, 3.18, -9.65, -0.03, -0.02, -0.03
0.32, 3.18, -9.48, -0.02, -0.02, -0.03
0.28, 3.09, -9.65, -0.01, -0.02, -0.03
0.28, 3.10, -9.54, -0.00, -0.01, -0.04
0.28, 3.09, -9.59, 0.00, -0.02, -0.03
0.19, 3.05, -9.57, 0.02, -0.02, -0.02
0.20, 3.00, -9.56, 0.03, -0.02, -0.02
0.16, 2.81, -9.58, 0.02, -0.02, -0.02
0.10, 2.77, -9.49, -0.01, -0.02, -0.02
0.07, 2.84, -9.57, -0.03, -0.02, -0.01
0.15, 2.84, -9.61, -0.05, -0.01, -0.02
0.13, 3.05, -9.59, -0.04, -0.01, -0.01
0.19, 3.04, -9.51, -0.04, -0.01, -0.01
0.20, 3.04, -9.52, -0.03, -0.01, -0.00
0.18, 3.04, -9.52, -0.03, -0.01, -0.00
0.19, 3.00, -9.50, -0.03, -0.02, -0.00
0.20, 3.01, -9.48, -0.04, -0.02, -0.01
0.22, 3.09, -9.53, -0.04, -0.01, -0.02
0.16, 3.09, -9.61, -0.04, -0.02, -0.02
0.16, 3.10, -9.51, -0.03, -0.02, -0.02
0.35, 3.09, -9.44, -0.04, -0.01, -0.03
0.50, 3.02, -9.55, -0.04, -0.00, -0.04
0.43, 3.10, -9.53, -0.05, -0.01, -0.07
0.63, 3.15, -9.47, -0.03, -0.03, -0.10
0.61, 3.17, -9.50, -0.03, -0.04, -0.12
0.41, 3.17, -9.49, -0.04, -0.04, -0.14
0.35, 3.17, -9.59, -0.03, -0.03, -0.14
0.48, 3.13, -9.62, -0.03, -0.02, -0.14
0.45, 3.23, -9.62, -0.03, -0.02, -0.13
0.44, 3.15, -9.45, -0.03, -0.02, -0.10
0.45, 3.18, -9.54, -0.01, -0.01, -0.08
0.41, 3.12, -9.59, -0.02, -0.01, -0.06
0.36, 3.06, -9.56, -0.01, 0.01, -0.04
0.43, 3.04, -9.60, -0.02, 0.02, -0.04
0.51, 3.11, -9.51, -0.02, 0.02, -0.04
0.41, 3.07, -9.47, -0.02, 0.02, -0.04
0.46, 3.07, -9.56, -0.01, 0.04, -0.04
0.49, 3.02, -9.65, -0.01, 0.03, -0.04
0.47, 2.95, -9.63, -0.01, 0.03, -0.05
0.52, 2.89, -9.54, -0.01, 0.02, -0.05
0.62, 2.91, -9.50, -0.03, 0.02, -0.04
0.57, 2.95, -9.62, -0.03, 0.02, -0.04
0.56, 2.90, -9.57, -0.04, 0.01, -0.04
0.47, 2.89, -9.54, -0.03, 0.01, -0.04
0.51, 2.93, -9.71, -0.03, 0.00, -0.04
0.37, 2.87, -9.57, -0.04, 0.00, -0.03
0.41, 2.94, -9.57, -0.04, -0.01, -0.03
0.35, 2.89, -9.61, -0.04, -0.01, -0.02
0.38, 2.83, -9.58, -0.05, -0.02, -0.02
0.29, 2.86, -9.61, -0.05, -0.02, -0.02
0.27, 2.88, -9.59, -0.06, -0.03, -0.01
0.14, 2.91, -9.56, -0.06, -0.03, -0.01
0.21, 3.00, -9.65, -0.06, -0.04, -0.00
0.17, 3.06, -9.59, -0.05, -0.04, 0.01
0.12, 3.04, -9.58, -0.05, -0.04, 0.01
0.02, 3.03, -9.55, -0.05, -0.04, 0.02
0.04, 3.08, -9.69, -0.05, -0.04, 0.02
-0.01, 3.05, -9.61, -0.05, -0.03, 0.01
0.01, 3.07, -9.58, -0.04, -0.03, 0.02
0.03, 3.09, -9.56, -0.04, -0.02, 0.02
0.00, 3.17, -9.53, -0.04, -0.03, 0.01
0.05, 3.11, -9.47, -0.02, -0.01, 0.01
0.11, 3.09, -9.54, -0.02, 0.00, 0.01
0.16, 3.07, -9.57, -0.02, -0.00, 0.00
0.20, 3.06, -9.59, -0.03, -0.00, -0.01
0.28, 3.03, -9.55, -0.04, -0.01, -0.01
0.21, 3.08, -9.59, -0.05, -0.00, -0.01
0.32, 3.10, -9.49, -0.05, 0.00, -0.01
0.39, 3.17, -9.58, -0.05, -0.00, -0.00
0.51, 3.23, -9.62, -0.05, -0.01, -0.00
0.49, 3.18, -9.49, -0.04, -0.00, -0.00
0.50, 3.18, -9.51, -0.04, -0.01, -0.00
0.49, 3.18, -9.53, -0.05, -0.00, -0.01
0.54, 3.15, -9.51, -0.04, -0.01, -0.00
0.47, 3.22, -9.61, -0.04, -0.02, -0.01
0.49, 3.18, -9.53, -0.04, -0.02, -0.01
0.45, 3.15, -9.58, -0.04, -0.02, -0.01
0.45, 3.21, -9.56, -0.03, -0.01, -0.01
0.51, 3.16, -9.51, -0.03, -0.01, -0.01
0.59, 3.19, -9.52, -0.03, -0.02, -0.00
0.51, 3.13, -9.61, -0.03, -0.02, -0.00
0.51, 3.10, -9.63, -0.02, -0.01, -0.01
0.57, 3.05, -9.63, -0.03, -0.01, -0.01
0.45, 3.11, -9.58, -0.03, -0.02, -0.01
0.51, 3.07, -9.55, -0.02, -0.01, -0.01
0.47, 3.04, -9.61, -0.02, -0.02, -0.02
0.45, 3.04, -9.64, -0.02, -0.02, -0.02
0.47, 2.98, -9.55, -0.02, -0.02, -0.02
0.34, 2.90, -9.57, -0.03, -0.02, -0.02
0.27, 2.86, -9.59, -0.04, -0.02, -0.01
0.24, 2.89, -9.54, -0.06, -0.03, -0.00
0.16, 2.94, -9.59, -0.07, -0.03, 0.00
0.07, 2.93, -9.59, -0.07, -0.03, 0.01
0.01, 3.14, -9.52, -0.07, -0.01, 0.01
-0.00, 3.13, -9.55, -0.05, -0.01, 0.01
0.05, 3.11, -9.60, -0.04, -0.00, 0.01
-0.04, 3.06, -9.57, -0.03, -0.00, 0.01
0.03, 3.04, -9.56, -0.03, -0.00, 0.00
0.07, 3.06, -9.55, -0.03, -0.00, -0.00
0.00, 3.06, -9.51, -0.03, 0.00, -0.01
0.03, 3.08, -9.46, -0.03, 0.01, -0.01
0.10, 3.09, -9.50, -0.02, 0.00, -0.01
0.25, 3.08, -9.58, -0.02, -0.01, -0.02
0.09, 3.05, -9.44, -0.02, -0.02, -0.02
0.04, 3.03, -9.50, -0.03, -0.02, -0.02
-0.07, 3.06, -9.54, -0.03, -0.01, -0.01
0.17, 3.04, -9.51, -0.03, -0.01, -0.01
0.14, 3.06, -9.50, -0.04, -0.02, -0.01
0.23, 3.09, -9.43, -0.04, -0.01, -0.01
0.18, 3.06, -9.50, -0.04, -0.01, -0.01
0.30, 3.15, -9.55, -0.04, -0.01, -0.02
0.24, 3.15, -9.58, -0.04, -0.00, -0.02
0.29, 3.16, -9.48, -0.04, -0.00, -0.02
0.31, 3.18, -9.60, -0.05, -0.02, -0.02
0.38, 3.20, -9.62, -0.05, -0.02, -0.01
0.31, 3.20, -9.55, -0.05, -0.01, -0.00
0.43, 3.21, -9.56, -0.04, -0.01, -0.00
0.40, 3.22, -9.49, -0.04, -0.01, -0.01
0.46, 3.17, -9.57, -0.04, -0.02, -0.01
0.40, 3.21, -9.54, -0.04, -0.01, -0.01
0.46, 3.18, -9.57, -0.03, -0.00, -0.02
0.58, 3.19, -9.54, -0.04, -0.01, -0.02
0.45, 3.14, -9.63, -0.04, -0.02, -0.02
0.48, 3.14, -9.51, -0.04, -0.01, -0.02
0.43, 3.12, -9.47, -0.03, -0.01, -0.02
0.48, 3.18, -9.59, -0.03, -0.01, -0.01
0.47, 3.11, -9.54, -0.02, -0.01, -0.01
0.44, 3.02, -9.54, -0.03, -0.02, -0.00
0.39, 3.04, -9.58, -0.03, -0.02, 0.01
0.36, 3.00, -9.56, -0.04, -0.02, 0.01
0.29, 3.02, -9.63, -0.03, -0.02, 0.01
0.30, 3.09, -9.49, -0.03, -0.02, 0.00
0.28, 3.03, -9.56, -0.03, -0.02, 0.01
0.29, 2.96, -9.55, -0.03, -0.02, 0.02
0.10, 3.08, -9.60, -0.04, -0.02, 0.02
0.16, 2.97, -9.66, -0.03, -0.02, 0.01
0.05, 2.99, -9.50, -0.03, -0.02, 0.01
0.06, 2.92, -9.52, -0.03, -0.01, 0.01
0.06, 2.96, -9.54, -0.05, -0.01, 0.01
0.17, 2.98, -9.64, -0.05, -0.01, 0.00
0.17, 3.04, -9.52, -0.04, -0.03, -0.00
0.09, 3.03, -9.56, -0.04, -0.04, -0.00
0.02, 3.00, -9.54, -0.04, -0.03, 0.00
-0.04, 3.14, -9.50, -0.04, -0.02, 0.01
-0.01, 3.04, -9.50, -0.04, -0.02, 0.01
-0.01, 3.14, -9.54, -0.04, -0.02, 0.01
0.04, 3.12, -9.55, -0.03, -0.02, 0.01
0.03, 3.11, -9.54, -0.03, -0.02, 0.01
-0.00, 3.05, -9.62, -0.03, -0.03, 0.01
-0.00, 3.10, -9.52, -0.03, -0.02, 0.01
0.02, 3.12, -9.46, -0.02, -0.02, 0.01
0.04, 3.10, -9.47, -0.03, -0.02, 0.02
0.03, 3.10, -9.60, -0.03, -0.02, 0.02
0.04, 3.06, -9.51, -0.03, -0.01, 0.03
0.10, 3.17, -9.60, -0.03, -0.01, 0.03
0.11, 3.18, -9.61, -0.03, -0.02, 0.04
0.20, 3.20, -9.63, -0.03, -0.02, 0.05
0.18, 3.28, -9.52, -0.02, -0.01, 0.07
0.36, 3.19, -9.53, -0.02, -0.00, 0.06
0.40, 3.16, -9.43, -0.02, -0.01, 0.05
0.55, 3.12, -9.53, -0.02, -0.02, 0.04
0.51, 3.15, -9.56, -0.02, -0.03, 0.02
0.45, 3.19, -9.62, -0.02, -0.04, 0.00
0.48, 3.11, -9.55, -0.01, -0.04, -0.01
0.49, 3.11, -9.56, -0.02, -0.05, -0.01
0.42, 3.05, -9.49, -0.02, -0.05, 0.00
0.47, 3.10, -9.51, -0.03, -0.06, 0.02
0.31, 3.13, -9.57, -0.03, -0.07, 0.05
0.28, 3.14, -9.57, -0.03, -0.06, 0.07
0.14, 3.11, -9.61, -0.02, -0.05, 0.09
0.14, 3.05, -9.51, -0.03, -0.04, 0.10
0.05, 3.08, -9.62, -0.04, -0.02, 0.10
-0.02, 3.03, -9.56, -0.03, 0.02, 0.10
0.11, 3.04, -9.65, -0.02, 0.05, 0.10
0.34, 3.03, -9.58, -0.02, 0.06, 0.08
0.41, 3.06, -9.65, -0.02, 0.06, 0.07
0.42, 2.97, -9.57, -0.02, 0.06, 0.05
0.41, 3.08, -9.58, -0.01, 0.05, 0.04
0.51, 3.08, -9.73, 0.00, 0.04, 0.04
0.44, 2.83, -9.61, -0.01, 0.02, 0.03
0.35, 2.81, -9.63, -0.01, 0.02, 0.02
0.28, 2.81, -9.54, -0.04, 0.02, -0.00
0.41, 2.83, -9.51, -0.05, 0.02, -0.04
0.34, 2.92, -9.58, -0.06, 0.01, -0.06
0.25, 3.04, -9.53, -0.06, -0.00, -0.08
0.12, 3.08, -9.55, -0.05, -0.01, -0.08
0.04, 3.14, -9.66, -0.04, -0.00, -0.09
-0.05, 3.08, -9.66, -0.03, 0.01, -0.08
-0.06, 2.99, -9.64, -0.03, 0.03, -0.07
0.00, 3.01, -9.68, -0.04, 0.02, -0.06
0.04, 3.06, -9.62, -0.03, 0.03, -0.05
0.01, 3.04, -9.56, -0.02, 0.03, -0.05
